source_index,file_point_decimal,file_point_original,current_A,time_s,row,col,used_in_image
115,115,115,4.0478421624875105e-06,4.016892041257126,-1,-1,0
116,116,116,4.1074674390157194e-06,4.0569515913290815,-1,-1,0
117,117,117,3.969303929513993e-06,4.098162127935426,-1,-1,0
118,118,118,3.976343502293414e-06,4.125897408966278,-1,-1,0
119,119,119,3.909883433219894e-06,4.159275481984541,-1,-1,0
120,120,120,4.2029543656105504e-06,4.200580607544442,-1,-1,0
121,121,121,3.985963661967428e-06,4.225866031338134,-1,-1,0
122,122,122,4.127002655366556e-06,4.263435270295459,-1,-1,0
123,123,123,3.948216603889018e-06,4.30429574345742,-1,-1,0
124,124,124,4.013107295386648e-06,4.339555815113864,-1,-1,0
125,125,125,3.866291801074393e-06,4.379072803524886,-1,-1,0
126,126,126,3.969370628098658e-06,4.408601273178829,-1,-1,0
127,127,127,4.078700392672002e-06,4.437571696138682,-1,-1,0
128,128,128,3.89986049475404e-06,4.469834235149689,-1,-1,0
129,129,129,4.0857782035947685e-06,4.498422355701032,-1,-1,0
130,130,130,4.026979025267877e-06,4.530343584483282,-1,-1,0
131,131,131,3.9164839260012596e-06,4.574306065711498,-1,-1,0
132,132,132,3.959872218285946e-06,4.61077272006372,-1,-1,0
133,133,133,3.963274745863567e-06,4.642574081412136,-1,-1,0
134,134,134,3.9960384529646e-06,4.673004573808312,-1,-1,0
135,135,135,3.957108482724553e-06,4.7170453636224625,-1,-1,0
136,136,136,3.933816967935637e-06,4.750934927815405,-1,-1,0
137,137,137,3.975632983798814e-06,4.795542822833017,-1,-1,0
138,138,138,3.917848820911276e-06,4.830853276215143,-1,-1,0
139,139,139,3.896837874188553e-06,4.866276598795667,-1,-1,0
140,140,140,3.996145881399411e-06,4.909207409269987,-1,-1,0
141,141,141,4.0706299380443655e-06,4.949062757634288,-1,-1,0
142,142,142,3.8776502635906105e-06,4.985675814911345,-1,-1,0
143,143,143,2.4000280652117117e-05,5.01920880498807,1,2,1
144,144,144,2.3948003504415896e-05,5.061772562176436,1,2,1
145,145,145,2.3921828365029227e-05,5.095005485174573,1,2,1
146,146,146,2.406827501221717e-05,5.138460676697942,1,2,1
147,147,147,2.3958546424872746e-05,5.16483498374038,1,2,1
148,148,148,2.411986413464519e-05,5.198434920978403,1,2,1
149,149,149,2.3937612850868288e-05,5.233825217375959,1,2,1
150,150,150,2.403092015949007e-05,5.277843981287597,1,2,1
151,151,151,2.3981817359475424e-05,5.307863966220892,1,2,1
152,152,152,2.3939678255269893e-05,5.348984749166134,1,2,1
153,153,153,2.404701400340622e-05,5.387514173166106,1,2,1
154,154,154,2.3987601394154015e-05,5.426855891251728,1,2,1
155,155,155,2.404825684645709e-05,5.464448334908532,1,2,1
156,156,156,2.399621667942264e-05,5.508879549077764,1,2,1
157,157,157,2.3913134699575885e-05,5.540533178261991,1,2,1
158,158,158,2.3991834460544887e-05,5.573498689455579,1,2,1
159,159,159,2.400415641356129e-05,5.602556924499849,1,2,1
160,160,160,2.4076677036310496e-05,5.628571005605294,1,2,1
161,161,161,2.3927498479413186e-05,5.657829169504801,1,2,1
162,162,162,2.3996853611738615e-05,5.701138457447279,1,2,1
163,163,163,2.38622497015816e-05,5.742941833790447,1,2,1
164,164,164,2.4052119444827465e-05,5.770189948620299,1,2,1
165,165,165,2.3913481362028748e-05,5.807265529126636,1,2,1
166,166,166,2.3855491238313314e-05,5.841849459024428,1,2,1
167,167,167,2.3995262653258023e-05,5.878743156434194,1,2,1
168,168,168,2.408845479669303e-05,5.916928656566375,1,2,1
169,169,169,2.3878044244143052e-05,5.948061846384152,1,2,1
170,170,170,2.3912957153168926e-05,5.9922888632788815,1,2,1
171,171,171,2.3940538008715738e-05,6.026605663980104,1,1,1
172,172,172,2.390964026829264e-05,6.064167681077402,1,1,1
173,173,173,2.4030354231066767e-05,6.101872204755396,1,1,1
174,174,174,2.393541060439644e-05,6.13054999268559,1,1,1
175,175,175,2.3942278821083184e-05,6.156787301048717,1,1,1
176,176,176,2.4046664431894584e-05,6.190017637518676,1,1,1
177,177,177,2.3939558829522505e-05,6.230298239287445,1,1,1
178,178,178,2.403462240782246e-05,6.2716026750532805,1,1,1
179,179,179,2.3922289186249436e-05,6.311202460033321,1,1,1
180,180,180,2.390302891886278e-05,6.338466559083826,1,1,1
181,181,181,2.3853164056864726e-05,6.381733656314447,1,1,1
182,182,182,2.414889622295294e-05,6.422774387874393,1,1,1
183,183,183,2.3974379277429522e-05,6.465328215207383,1,1,1
184,184,184,2.4019514669435875e-05,6.500794298266887,1,1,1
185,185,185,2.3997516039281538e-05,6.544107006968901,1,1,1
186,186,186,2.401279694056058e-05,6.570040051727979,1,1,1
187,187,187,2.400397491834995e-05,6.595645828406611,1,1,1
188,188,188,2.4152657363136217e-05,6.621050139873734,1,1,1
189,189,189,2.391688587272343e-05,6.651105513432784,1,1,1
190,190,190,2.3875403031512146e-05,6.681076908896963,1,1,1
191,191,191,2.3919043226521252e-05,6.7098269755840825,1,1,1
192,192,192,2.389322327921932e-05,6.74616809195179,1,1,1
193,193,193,2.4059756964198555e-05,6.771947808772451,1,1,1
194,194,194,2.4065630256763023e-05,6.808755566129148,1,1,1
195,195,195,2.3923094756387976e-05,6.837075789190092,1,1,1
196,196,196,2.3888765137882962e-05,6.875633263361439,1,1,1
197,197,197,2.3971616267748714e-05,6.901054770450317,1,1,1
198,198,198,2.4111289910230113e-05,6.932266174391381,1,1,1
199,199,199,2.3774434446576136e-05,6.976033000128673,1,1,1
200,200,200,4.04213014152127e-06,7.0118009277262185,1,0,1
201,201,201,3.913939581804113e-06,7.053032675781154,1,0,1
202,202,202,4.083229371723302e-06,7.091193197413388,1,0,1
203,203,203,3.913766084729859e-06,7.128408213125659,1,0,1
204,204,204,3.9771667338227326e-06,7.157233266727356,1,0,1
205,205,205,3.879497671948835e-06,7.193721161692513,1,0,1
206,206,206,3.921819371960152e-06,7.219514890061693,1,0,1
207,207,207,4.110867133043689e-06,7.26054817816353,1,0,1
208,208,208,4.065646294871205e-06,7.304749596504053,1,0,1
209,209,209,3.9678665478279455e-06,7.34682977793089,1,0,1
210,210,210,3.93038621038366e-06,7.372843970850211,1,0,1
211,211,211,3.848495429079054e-06,7.404617172517816,1,0,1
212,212,212,3.968507463047921e-06,7.435977236475062,1,0,1
213,213,213,3.997527739793096e-06,7.46323157630952,1,0,1
214,214,214,3.993275651373241e-06,7.500763812696082,1,0,1
215,215,215,3.992496645761906e-06,7.541712976203408,1,0,1
216,216,216,3.910255229821845e-06,7.572987405643453,1,0,1
217,217,217,3.99469808917075e-06,7.615243590341828,1,0,1
218,218,218,3.996906129637191e-06,7.656186128598751,1,0,1
219,219,219,4.103244963024254e-06,7.683768887428237,1,0,1
220,220,220,4.1493386763481885e-06,7.724106070563001,1,0,1
221,221,221,3.989040877846577e-06,7.766758484961039,1,0,1
222,222,222,3.938695523905929e-06,7.795704136357673,1,0,1
223,223,223,3.9948014296190424e-06,7.832176959947644,1,0,1
224,224,224,3.951390297979645e-06,7.869951959268086,1,0,1
225,225,225,3.9406052947403e-06,7.9071386444179375,1,0,1
226,226,226,3.995307987846228e-06,7.934063557970498,1,0,1
227,227,227,3.916535645507815e-06,7.972287387190797,1,0,1
228,228,228,4.048488540092401e-06,8.009926481684388,-1,-1,0
229,229,229,3.991686756065273e-06,8.051404191464428,-1,-1,0
230,230,230,4.020000664548796e-06,8.092474445447035,-1,-1,0
231,231,231,3.985364797122346e-06,8.124017809605688,-1,-1,0
232,232,232,3.9418196442198065e-06,8.16345875626422,-1,-1,0
233,233,233,3.9241632352200915e-06,8.205804224015667,-1,-1,0
234,234,234,3.9810179196540365e-06,8.248663179179482,-1,-1,0
235,235,235,3.956099173005775e-06,8.276893425718422,-1,-1,0
236,236,236,4.0187121066567655e-06,8.302427472720147,-1,-1,0
237,237,237,3.999645463744189e-06,8.340443621588593,-1,-1,0
238,238,238,3.891015460166181e-06,8.369737147043468,-1,-1,0
239,239,239,4.005369703954268e-06,8.40601134152881,-1,-1,0
240,240,240,3.8925711666287394e-06,8.449907432124947,-1,-1,0
241,241,241,3.950681789958458e-06,8.482493824609998,-1,-1,0
242,242,242,3.976451711262572e-06,8.512549315617685,-1,-1,0
243,243,243,3.833978137767095e-06,8.546679516616923,-1,-1,0
244,244,244,4.007320595828798e-06,8.584824394882338,-1,-1,0
245,245,245,4.012078667977146e-06,8.61184637423943,-1,-1,0
246,246,246,3.987358064526026e-06,8.644458069509442,-1,-1,0
247,247,247,3.966054618202273e-06,8.672132493286213,-1,-1,0
248,248,248,3.970111707191349e-06,8.710381417718498,-1,-1,0
249,249,249,3.921876842511115e-06,8.751992468363762,-1,-1,0
250,250,250,3.978423970421695e-06,8.784529543991937,-1,-1,0
251,251,251,3.9557910557188105e-06,8.816964023047426,-1,-1,0
252,252,252,4.0073348314149915e-06,8.852754456226375,-1,-1,0
253,253,253,3.903669112836411e-06,8.882055611819137,-1,-1,0
254,254,254,4.018847192720892e-06,8.912003803651473,-1,-1,0
255,255,255,4.011457511478214e-06,8.943600849317122,-1,-1,0
256,256,256,3.988674973425702e-06,8.977749363279885,-1,-1,0
